store,week,sales,count,price,prom,cost,brand,size
2,1,16,14181,3.29,0,2.0599999,Tylenol,25
2,2,12,13965,3.27,0,2.04,Tylenol,25
2,3,6,13538,3.3699999,0,2.1500001,Tylenol,25
2,4,12,13735,3.3,0,2.0699999,Tylenol,25
2,5,10,13735,3.3399999,0,2.1199999,Tylenol,25
2,6,13,14553,3.3800001,0,2.1700001,Tylenol,25
2,7,11,14229,3.3199999,0,2.0999999,Tylenol,25
2,8,9,13890,3.3199999,0,2.0899999,Tylenol,25
2,9,9,13890,3.3199999,0,2.0899999,Tylenol,25
2,10,8,15164,3.29,0,2.0799999,Tylenol,25
2,11,17,14136,3.3099999,0,2.1300001,Tylenol,25
2,12,10,14561,3.3099999,0,2.1199999,Tylenol,25
2,13,11,14692,3.3,0,2.1199999,Tylenol,25
2,14,16,15758,3.55,0,2.23,Tylenol,25
2,15,4,14936,3.4300001,0,2.1099999,Tylenol,25
2,16,10,15714,3.5599999,0,2.24,Tylenol,25
2,17,11,16886,3.53,0,2.24,Tylenol,25
2,18,11,14249,3.46,0,2.1800001,Tylenol,25
2,19,18,14713,2.53,.77999997,1.6,Tylenol,25
2,20,10,14637,3.5799999,0,2.3,Tylenol,25
2,21,8,16514,3.55,0,2.27,Tylenol,25
2,22,13,14514,3.5,0,2.21,Tylenol,25
2,23,9,14701,3.49,0,2.1500001,Tylenol,25
2,24,10,14854,3.51,0,2.2,Tylenol,25
2,25,10,15918,3.47,0,2.1900001,Tylenol,25
2,26,9,13834,3.54,0,2.28,Tylenol,25
2,27,6,13259,3.48,0,2.1900001,Tylenol,25
2,28,6,13259,3.48,0,2.1900001,Tylenol,25
2,29,5,13508,3.5599999,0,2.3199999,Tylenol,25
2,30,9,13798,3.6099999,0,2.3399999,Tylenol,25
2,31,4,13108,3.51,0,2.24,Tylenol,25
2,32,12,12993,3.52,0,2.24,Tylenol,25
2,33,6,13991,3.55,0,2.29,Tylenol,25
2,34,6,13991,3.55,0,2.29,Tylenol,25
2,35,6,13991,3.55,0,2.29,Tylenol,25
2,36,7,12830,3.5599999,0,2.26,Tylenol,25
